lat,lon,cumulated hours,timestamp,v1,v2,v3,d1,d2,d3,z0,irr_dir,irr_glo,T,rho,p,liq_precip,vap_precip,cloud_1,cloud-2,h1,h2,h3
5.5,-0.625,0,2017-01-01T00:00:00Z,1.45,2.18,3.11,56.83,57.48,58.0,0.38086438179,0.0,0.0,297.379486084,1.15987634659,100258.328125,0.000491380691528,35.7555198669,0.864990234375,0.0809326171875,3,11,51
5.5,-0.625,1,2017-01-01T01:00:00Z,1.37,2.07,2.9,67.18,69.2,70.47,0.380742311478,0.0,0.0,297.093780518,1.16051578522,100190.398438,0.000898599624634,35.5383453369,0.861328125,0.161499068141,3,11,51
5.5,-0.625,2,2017-01-01T02:00:00Z,1.29,1.96,2.75,75.63,78.63,80.38,0.380742311478,0.0,0.0,296.826721191,1.16119337082,100157.351562,0.0010142326355,35.204574585,0.848388671875,0.243774443865,3,11,51
5.5,-0.625,3,2017-01-01T03:00:00Z,1.23,1.87,2.61,83.43,86.99,89.01,0.380620241165,0.0,0.0,296.584960938,1.16209876537,100154.789062,0.00309562683105,34.6731567383,0.85009765625,0.60229498148,3,11,51
5.5,-0.625,4,2017-01-01T04:00:00Z,1.2,1.83,2.56,90.15,94.11,96.31,0.380498170853,0.0,0.0,296.353271484,1.16328072548,100177.664062,0.00534629821777,34.0806121826,0.85107421875,1.51367211342,3,11,51
5.5,-0.625,5,2017-01-01T05:00:00Z,1.22,1.88,2.68,94.83,99.25,101.67,0.380498170853,0.0,0.0,296.190734863,1.16462779045,100217.140625,0.00876617431641,33.5973052979,0.8603515625,2.99121189117,3,11,51
5.5,-0.625,6,2017-01-01T06:00:00Z,1.28,1.9,2.94,99.37,103.28,106.69,0.38037610054,107.84375,22.4296875,296.308105469,1.1661002636,100260.648438,0.0106658935547,33.3534965515,0.875732421875,3.70214867592,3,11,51
5.5,-0.625,7,2017-01-01T07:00:00Z,1.83,2.38,2.88,106.69,108.45,109.21,0.38037610054,426.375,117.375,297.28427124,1.16718542576,100333.734375,0.00990676879883,33.3696594238,0.8857421875,3.39453125,3,11,51
5.5,-0.625,8,2017-01-01T08:00:00Z,1.94,2.44,2.84,100.79,101.86,100.19,0.380254030228,718.75,263.0,298.48336792,1.16442644596,100398.226562,0.0101623535156,33.4563789368,0.885986328125,2.5888671875,3,11,51
5.5,-0.625,9,2017-01-01T09:00:00Z,2.09,2.64,3.03,100.3,100.85,101.38,0.380131959915,958.75,427.25,300.074829102,1.15909457207,100407.632812,0.0109786987305,33.4672622681,0.879638671875,2.34765648842,3,11,51
